#話者に対するボイス割り当て用の情報を記載します 
#話者名,ボイスファイル名,ボイスコンフィグ名,音量調整(%),エイリアス,口ぱく閾値1,口ぱく閾値2

# マッチング処理を使う場合

# コマンド指定の場合 ファイル名は↓のマッチングを使う
# @コマンド名 ファイル名 ファイル名 ファイル名  ※複数指定可能
# マッチング用コマンドタグ定義,タグ名
#__command__,vo

# __command__ を定義しなければ、コマンド名無しで @ファイル名 での直接マッチングになる
# ファイル名の正規表現マッチ用
# マッチング用正規表現定義,正規表現,マッチ位置番号,マッチ結果をカットして判定する場合の文字数
#__match__,^([^\d]+)\d\d\d\d[^\d]*$,1,2

# デフォルト定義
DEFAULT,VOICE%s%03d,ETC,100,NONAME,10,44
#由夏,yuka%s_%03d,由夏,100

乃愛,noa_%s_%04d,乃愛,100
天音,ama_%s_%04d,天音,100
来海,kur_%s_%04d,来海,100
かぐ耶,kag_%s_%04d,かぐ耶,100
オリエ,ori_%s_%04d,オリエ,100
風実花,fum_%s_%04d,風実花,100

ヴィズ,viz_%s_%04d,天音,100
スレイ,sur_%s_%04d,来海,100
ファリ,far_%s_%04d,風実花,100
戦乙女,war_%s_%04d,その他女,100

三国,sai_%s_%04d,三国,100
木下,kae_%s_%04d,木下,100
白石,chi_%s_%04d,白石,100
由月,yuz_%s_%04d,由月,100

クラヴィ,clr_%s_%04d,クラヴィ,100

魔王,mao_%s_%04d,魔王,100

ヴェガ,veg_%s_%04d,その他女,100
少女,syuthi_%s_%04d,その他女,100

第一王子,ouji_%s_%04d,その他男,100

月乃,tsuki_%s_%04d,その他女,100

男子クラスメイト１,dclass1_%s_%04d,その他男,100
男子クラスメイト２,dclass2_%s_%04d,その他男,100
女子クラスメイト１,jclass1_%s_%04d,その他女,100
女子クラスメイト２,jclass2_%s_%04d,その他女,100

井上,inoue_%s_%04d,その他男,100
迷子の女の子,mai_%s_%04d,その他女,100
母親,maihaha_%s_%04d,その他女,100
黒猫,cat_%s_%04d,その他女,100
アナウンサー,ann_%s_%04d,その他女,100
ＡＶ,AV_%s_%04d,その他女,100
見学者,ken_%s_%04d,その他女,100
最後の見学者,lasken_%s_%04d,その他女,100
国王,kokuou_%s_%04d,その他男,100
大臣,daijin_%s_%04d,その他男,100
刺客の男,teki_%s_%04d,その他男,100
議長,gityou_%s_%04d,その他男,100
女子Ａ,joa_%s_%04d,その他女,100
女子Ｂ,job_%s_%04d,その他女,100
女子Ｃ,joc_%s_%04d,その他女,100
刺客Ａ,tekia_%s_%04d,その他男,100
刺客Ｂ,tekib_%s_%04d,その他男,100
刺客Ｃ,tekic_%s_%04d,その他男,100
住人Ａ,jua_%s_%04d,その他男,100
住人Ｂ,jub_%s_%04d,その他男,100
住人Ｃ,juc_%s_%04d,その他女,100
住人Ｄ,jud_%s_%04d,その他男,100
異世界人Ａ,isea_%s_%04d,その他男,100
異世界人Ｂ,iseb_%s_%04d,その他男,100
異世界人Ｃ,isec_%s_%04d,その他女,100
異世界人Ｄ,ised_%s_%04d,その他女,100
異世界人Ｅ,isee_%s_%04d,その他男,100
公晴,kimiharu_%s_%04d,その他男,100
おばちゃん,oba_%s_%04d,その他女,100
店員,ten_%s_%04d,その他男,100
プリクラ音声,pur_%s_%04d,その他女,100
五島,gotou_%s_%04d,その他女,100
来海の母,kurhaha_%s_%04d,その他女,100

カフェの店員,caf_%s_%04d,その他女,100

一同,,その他,100

# テストボイス用
その他女,wom_%s_%04d,その他女,100
その他男,man_%s_%04d,その他男,100
