#画像の条件による差し替え機能定義
#スクリプト中画像名,実画像名,合致条件
#記述例
#ev513ge,ev513ge,f.sel_flag==0

#立ち絵鑑賞ユーザー背景変更用
extra_userbg,&sf.exchview_userbg,sf.exchview_userbg!=''

ev111LA,ev111LA,f.EV111sel==0
ev111LA,ev111IA,f.EV111sel==1
ev111LB,ev111LB,f.EV111sel==0
ev111LB,ev111IB,f.EV111sel==1
ev111LC,ev111LC,f.EV111sel==0
ev111LC,ev111IC,f.EV111sel==1
ev111LD,ev111LD,f.EV111sel==0
ev111LD,ev111ID,f.EV111sel==1
ev111LE,ev111LE,f.EV111sel==0
ev111LE,ev111IE,f.EV111sel==1
ev111LF,ev111LF,f.EV111sel==0
ev111LF,ev111IF,f.EV111sel==1
ev111LG,ev111LG,f.EV111sel==0
ev111LG,ev111IG,f.EV111sel==1
ev111LH,ev111LH,f.EV111sel==0
ev111LH,ev111IH,f.EV111sel==1
ev111LI,ev111LI,f.EV111sel==0
ev111LI,ev111II,f.EV111sel==1
ev111LJ,ev111LJ,f.EV111sel==0
ev111LJ,ev111IJ,f.EV111sel==1
ev111LK,ev111LK,f.EV111sel==0
ev111LK,ev111IK,f.EV111sel==1
ev111LL,ev111LL,f.EV111sel==0
ev111LL,ev111IL,f.EV111sel==1

ev113DA,ev113DA,f.EV113sel==0
ev113DA,ev113EA,f.EV113sel==1
ev113DB,ev113DB,f.EV113sel==0
ev113DB,ev113EB,f.EV113sel==1
ev113DC,ev113DC,f.EV113sel==0
ev113DC,ev113EC,f.EV113sel==1
ev113DD,ev113DD,f.EV113sel==0
ev113DD,ev113ED,f.EV113sel==1
ev113DE,ev113DE,f.EV113sel==0
ev113DE,ev113EE,f.EV113sel==1
ev113DF,ev113DF,f.EV113sel==0
ev113DF,ev113EF,f.EV113sel==1
ev113DG,ev113DG,f.EV113sel==0
ev113DG,ev113EG,f.EV113sel==1
ev113DH,ev113DH,f.EV113sel==0
ev113DH,ev113EH,f.EV113sel==1
ev113DI,ev113DI,f.EV113sel==0
ev113DI,ev113EI,f.EV113sel==1

ev115DA,ev115DA,f.EV115sel==0
ev115DA,ev115EA,f.EV115sel==1
ev115DB,ev115DB,f.EV115sel==0
ev115DB,ev115EB,f.EV115sel==1
ev115DC,ev115DC,f.EV115sel==0
ev115DC,ev115EC,f.EV115sel==1
ev115DD,ev115DD,f.EV115sel==0
ev115DD,ev115ED,f.EV115sel==1
ev115DE,ev115DE,f.EV115sel==0
ev115DE,ev115EE,f.EV115sel==1
ev115DF,ev115DF,f.EV115sel==0
ev115DF,ev115EF,f.EV115sel==1
ev115DG,ev115DG,f.EV115sel==0
ev115DG,ev115EG,f.EV115sel==1
ev115DH,ev115DH,f.EV115sel==0
ev115DH,ev115EH,f.EV115sel==1
ev115DI,ev115DI,f.EV115sel==0
ev115DI,ev115EI,f.EV115sel==1

ev116EA,ev116EA,f.EV116sel==0
ev116EA,ev116FA,f.EV116sel==1
ev116EB,ev116EB,f.EV116sel==0
ev116EB,ev116FB,f.EV116sel==1
ev116EC,ev116EC,f.EV116sel==0
ev116EC,ev116FC,f.EV116sel==1
ev116ED,ev116ED,f.EV116sel==0
ev116ED,ev116FD,f.EV116sel==1
ev116EE,ev116EE,f.EV116sel==0
ev116EE,ev116FE,f.EV116sel==1
ev116EF,ev116EF,f.EV116sel==0
ev116EF,ev116FF,f.EV116sel==1
ev116EG,ev116EG,f.EV116sel==0
ev116EG,ev116FG,f.EV116sel==1
ev116EH,ev116EH,f.EV116sel==0
ev116EH,ev116FH,f.EV116sel==1

ev117CA,ev117CA,f.EV117sel==0
ev117CA,ev117EA,f.EV117sel==1
ev117CB,ev117CB,f.EV117sel==0
ev117CB,ev117EB,f.EV117sel==1
ev117CC,ev117CC,f.EV117sel==0
ev117CC,ev117EC,f.EV117sel==1
ev117CD,ev117CD,f.EV117sel==0
ev117CD,ev117ED,f.EV117sel==1
ev117CE,ev117CE,f.EV117sel==0
ev117CE,ev117EE,f.EV117sel==1
ev117CF,ev117CF,f.EV117sel==0
ev117CF,ev117EF,f.EV117sel==1
ev117CG,ev117CG,f.EV117sel==0
ev117CG,ev117EG,f.EV117sel==1
