# セーブ置き換えが必要なCGファイル名一覧
#（あらかじめ default.tjs などで SystemConfig.saveThumbReplaceList にこのファイルを指定しておくこと）
#
#凡例：
# サムネファイル,元CGファイル1,元CGファイル2,...
#
# ※元CGファイルの末尾に「*」をつけることでワイルドカード指定が可能（ファイル名の先頭や途中は不可）
#
# サムネファイルは「:」を頭につけることで，画像置き換えではなく全体モザイクによる加工指定が可能
# 「:w=縦サイズ:h=横サイズ」でモザイクのブロックの大きさ（縮小前のサイズ基準）を指定可能
# 「:blur」にするとモザイクではなく全体ぼかしになる
# 「:」のみで1280x720時に合わせたモザイク処理が施される（w=64,h=60の縦横ぴったり割り切れる値）
# もしくは省略時のデフォルトをSystemConfig.saveThumbEffectDefaultParamの辞書で指定可能(%[w:100,h:200,blur:1]等)
#
# 例：
#   thumsave_evXXX, evXXX_a, evXXX_b, evXXX_c
#   thumsave_evXXX, evXXX*
#   :, evXXX*
#
#   :w=100:h=200,    ～
#   :blur,           ～ ※「:blur=1」でも可
#   :w=32:h=32:blur, ～ ※複合指定も可
#

#thum_EV101,	EV101*

savethum_ev111b,ev111b*
savethum_ev111c,ev111c*
savethum_ev111d,ev111d*
savethum_ev111e,ev111e*
savethum_ev111f,ev111f*
savethum_ev111g,ev111g*
savethum_ev111h,ev111h*
savethum_ev111i,ev111i*
savethum_ev111j,ev111j*
savethum_ev111k,ev111k*
savethum_ev111l,ev111l*
savethum_ev111m,ev111m*
savethum_ev112f,ev112f*
savethum_ev113a,ev113a*
savethum_ev113b,ev113b*
savethum_ev113c,ev113c*
savethum_ev113d,ev113d*
savethum_ev113e,ev113e*
savethum_ev113f,ev113f*
savethum_ev114c,ev114c*
savethum_ev114d,ev114d*
savethum_ev114e,ev114e*
savethum_ev114f,ev114f*
savethum_ev114g,ev114g*
savethum_ev114h,ev114h*
savethum_ev114i,ev114i*
savethum_ev114j,ev114j*
savethum_ev115a,ev115a*
savethum_ev115b,ev115b*
savethum_ev115c,ev115c*
savethum_ev115d,ev115d*
savethum_ev115e,ev115e*
savethum_ev115f,ev115f*
savethum_ev116a,ev116a*
savethum_ev116b,ev116b*
savethum_ev116c,ev116c*
savethum_ev116d,ev116d*
savethum_ev116e,ev116e*
savethum_ev116f,ev116f*
savethum_ev117a,ev117a*
savethum_ev117b,ev117b*
savethum_ev117c,ev117c*
savethum_ev117d,ev117d*
savethum_ev117e,ev117e*
savethum_ev117f,ev117f*
savethum_ev117g,ev117g*
savethum_ev117h,ev117h*
savethum_ev117i,ev117i*
savethum_ev117j,ev117j*
savethum_ev117k,ev117k*
savethum_ev117l,ev117l*
savethum_ev117m,ev117m*
savethum_ev118a,ev118a*
savethum_ev118b,ev118b*
savethum_ev118c,ev118c*
savethum_ev118d,ev118d*
savethum_ev119_a,ev119_a*
savethum_ev119b,ev119b*
savethum_ev119c,ev119c*
savethum_ev120c,ev120c*
savethum_ev211b,ev211b*
savethum_ev211c,ev211c*
savethum_ev211d,ev211d*
savethum_ev211e,ev211e*
savethum_ev211f,ev211f*
savethum_ev211g,ev211g*
savethum_ev211h,ev211h*
savethum_ev211i,ev211i*
savethum_ev211j,ev211j*
savethum_ev211k,ev211k*
savethum_ev211l,ev211l*
savethum_ev211m,ev211m*
savethum_ev212a,ev212a*
savethum_ev212b,ev212b*
savethum_ev212c,ev212c*
savethum_ev212d,ev212d*
savethum_ev212e,ev212e*
savethum_ev212f,ev212f*
savethum_ev212g,ev212g*
savethum_ev212h,ev212h*
savethum_ev212i,ev212i*
savethum_ev213_a,ev213_a*
savethum_ev213a,ev213a*
savethum_ev213b,ev213b*
savethum_ev213c,ev213c*
savethum_ev213d,ev213d*
savethum_ev213e,ev213e*
savethum_ev213f,ev213f*
savethum_ev213g,ev213g*
savethum_ev213h,ev213h*
savethum_ev213i,ev213i*
savethum_ev213j,ev213j*
savethum_ev213k,ev213k*
savethum_ev214a,ev214a*
savethum_ev214b,ev214b*
savethum_ev214c,ev214c*
savethum_ev214d,ev214d*
savethum_ev214e,ev214e*
savethum_ev214f,ev214f*
savethum_ev214g,ev214g*
savethum_ev214h,ev214h*
savethum_ev215a,ev215a*
savethum_ev215b,ev215b*
savethum_ev215c,ev215c*
savethum_ev215d,ev215d*
savethum_ev215e,ev215e*
savethum_ev215f,ev215f*
savethum_ev215g,ev215g*
savethum_ev215h,ev215h*
savethum_ev215i,ev215i*
savethum_ev215j,ev215j*
savethum_ev216c,ev216c*
savethum_ev216d,ev216d*
savethum_ev217d,ev217d*
savethum_ev217e,ev217e*
savethum_ev217f,ev217f*
